OBJECTID,NAME,WARD,aggregationMethod,HasData,ORIGINAL_OID,PCTMinority,RAWTotalPop,population_acsipov200,population_acsipovbas,PCTNonWorkingAge,PCTSenior,PCTChildren,PCTUnemployment,KeyField,HeatSeverity,PCTTreeCover,AREASqKm,PopDensity,PopAdjFactor,GOAL,GAP,GapScore,PriorityIndex,TreeEquityScore,PCTPoverty,Status,TES,AreaSqMi,PopDens_SqMi,SHAPE_Length,SHAPE_Area
880,Alvernon Heights,6,BlockApportionment:US.BlockGroups,1,302,77.38,305,106,313,61.31,8.85,29.84,29.14,302,5.16666666666667,9.71040215977899,0.202161322644598,1508.6961047252,1.2,18,8.28959784022101,47.540897714196,0.66808209612285,68.2387774035379,66.1341853035144,02 Upper-Moderate Priority,64 - 79,0.0780549230567858,3907.50497285237,6408.90998679852,2176099.3676992
881,Parkway Terrace,5,BlockApportionment:US.BlockGroups,1,46,82.87,216,123,308,66.67,12.04,21.3,23.85,46,5.04054054054054,10.8700327165315,0.13507101952393,1599.15872969132,1.2,18,7.1299672834685,40.8904089031059,0.646327145802001,73.5714187229788,60.0649350649351,02 Upper-Moderate Priority,64 - 79,0.0521512122014449,4141.80209590633,5662.66951651792,1453905.46764085
882,Coyote Corridor,4,BlockApportionment:US.BlockGroups,1,339,44.95,2376,1454,1898,62.58,12.67,24.75,12.68,339,7.0230607966457,3.98542761763542,2.5969314577946,914.92595727489,1.2,18,14.0145723823646,80.373664076378,0.461559017391726,62.9028105847343,23.3930453108535,01 High Priority,0 - 64,1.00268084157325,2369.64735086786,21130.6864005306,27954942.527874
883,JT RP Annexation District,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550.04773314615,143031.827460648
884,La Paloma Academy,2,BlockApportionment:US.BlockGroups,1,358,55.56,9,0,0,77.78,11.11,11.11,16.67,358,5.93717277486911,7.17233953725851,0.168639542277912,53.3682662940837,1.2,18,10.8276604627415,62.0967034185478,0.472153062339213,,0,,,0.065112091297558,138.223175152993,5368.54027332287,1809276.6312817
885,Vista Del Rio 2,2,BlockApportionment:US.BlockGroups,1,106,23.83,1045,739,862,51.87,37.22,10.91,8.6,106,3.50959488272921,17.0033921462048,0.427778838579592,2442.8510850837,1,15,0,0,0.255963757484851,100,14.2691415313225,04 Low Priority,99 - 100,0.165166332975828,6326.95526486586,12405.087807623,4604369.17871725
886,Vista Del Sahuaro,2,BlockApportionment:US.BlockGroups,1,446,47.76,1227,732,946,62.1,18.5,19.4,16.35,446,4.61118881118881,8.92356740924975,0.645736535684526,1900.15576352559,1.2,18,9.07643259075025,52.0534001436128,0.425585970018085,77.846803207141,22.6215644820296,02 Upper-Moderate Priority,64 - 79,0.249320270309859,4921.38083467928,10525.5810152535,6951031.70686027
887,Downtown,6,BlockApportionment:US.BlockGroups,1,197,44.59,157,106,210,81.53,15.29,3.18,12,197,4.37916666666667,6.48489122691744,0.877396253458883,178.938534762455,1.2,18,11.5151087730826,66.0392239648584,0.501782621145114,66.8626651005241,49.5238095238095,02 Upper-Moderate Priority,64 - 79,0.33876458740129,463.448677455837,15665.072671121,9518790.97054444
888,Joaquin Murrieta,1,BlockApportionment:US.BlockGroups,1,227,85.71,7,2,8,57.14,14.29,28.57,25,227,1.52197802197802,9.51504214945761,0.162773537963812,43.0045330928191,1.2,18,8.48495785054239,48.6612886483702,0.575732455180688,,75,,,0.062847214369585,111.38122938648,5346.40456810318,1752046.88935091
889,Campana de Plata,1,BlockApportionment:US.BlockGroups,1,252,47.06,136,104,121,55.15,27.94,16.91,8.62,252,8.36144578313253,6.5003436836944,0.520153743111547,261.461157976969,1.2,18,11.4996563163056,65.9506040243947,0.43330534971224,71.4232504594762,14.0495867768595,02 Upper-Moderate Priority,64 - 79,0.200832483015092,677.181290388068,12381.7438342729,5605262.05156954
