site.ID,nativeUS,totalcount,routeID,easting,northing
115_09,Native,415,115,498115,3575216
115_10,Native,452,115,498493,3576690
115_11,Native,486,115,499362,3576715
115_12,Native,507,115,499995,3577311
116_01,Native,357,116,491247,3575786
116_02,Native,390,116,491788,3576802
116_03,Native,320,116,491776,3577072
116_04,Native,347,116,492512,3577137
116_05,Native,235,116,493983,3577288
116_05a,Native,22,116,493734,3577248
116_06,Native,256,116,494852,3577679
116_07,Native,316,116,495917,3577458
116_08,Native,290,116,496918,3577095
116_09,Native,435,116,497611,3577477
116_10,Native,437,116,498537,3577425
116_11,Native,334,116,497223,3578357
116_11a,Native,14,116,497556,3578446
116_12,Native,227,116,498674,3578241
117_01,Native,216,117,497073,3572902
117_02,Native,343,117,496495,3573444
117_03,Native,241,117,497661,3573864
117_04,Native,285,117,495974,3574638
117_05,Native,288,117,497943,3574505
117_06,Native,276,117,496108,3575343
117_07,Native,299,117,496898,3575240
117_08,Native,249,117,497302,3576139
117_09,Native,276,117,495191,3576019
117_10,Native,462,117,495801,3576737
117_11,Native,337,117,496393,3576834
117_12,Native,251,117,497580,3576211
118_01,Native,235,118,489759,3575567
118_02,Native,201,118,490743,3575450
118_03,Native,216,118,487225,3576673
118_04,Native,162,118,488214,3576203
118_04a,Native,7,118,488151,3576111
118_05,Native,283,118,489756,3576265
118_06,Native,227,118,490636,3576135
118_07,Native,196,118,487135,3577913
118_08,Native,235,118,488786,3577571
118_08a,Native,37,118,488810,3577207
118_09,Native,208,118,490049,3577015
118_10,Native,262,118,490394,3577135
119_01,Native,320,119,491669,3573065
119_02,Native,259,119,492346,3573732
119_03,Native,310,119,491743,3574523
119_04,Native,324,119,492455,3574123
119_05,Native,218,119,493360,3574818
119_06,Native,201,119,494113,3574002
119_07,Native,255,119,495172,3574386
119_08,Native,177,119,492105,3575049
119_09,Native,293,119,493141,3575468
119_10,Native,198,119,493949,3575832
119_11,Native,304,119,492085,3576860
119_12,Native,292,119,493695,3576375
120_01,Native,158,120,490910,3572512
120_02,Native,231,120,491698,3572644
120_03,Native,231,120,492359,3572001
120_04,Native,240,120,493161,3572467
120_05,Native,266,120,490736,3573680
120_06,Native,242,120,493439,3573279
120_07,Native,165,120,488695,3574858
120_08,Native,200,120,489788,3574257
120_09,Native,127,120,490033,3574797
120_10,Native,119,120,488906,3575164
121_01,Native,275,121,488615,3572434
121_02,Native,164,121,489680,3571807
121_03,Native,192,121,490269,3572303
121_04,Native,246,121,491692,3571654
121_05,Native,335,121,492249,3571974
121_07,Native,259,121,489333,3572433
121_09,Native,307,121,489634,3573862
122_01,Native,89,122,490122,3569035
122_01a,Native,189,122,490200,3568866
122_02,Native,135,122,492298,3569021
122_02a,Native,56,122,491505,3568544
122_03,Native,98,122,489042,3569985
122_03a,Native,62,122,488721,3569567
122_04,Native,249,122,489513,3569382
122_05,Native,304,122,490166,3569638
122_06,Native,270,122,491083,3569816
122_06a,Native,67,122,491593,3569785
122_07,Native,85,122,489454,3571511
122_07a,Native,84,122,488832,3570738
122_07b,Native,46,122,488653,3571137
122_08,Native,64,122,489540,3570574
122_08a,Native,201,122,489030,3570680
122_09,Native,314,122,490899,3570389
122_12,Native,45,122,492268,3571384
123_01,Native,335,123,492868,3569894
123_03,Native,293,123,492472,3570675
123_04,Native,335,123,494043,3571059
123_05,Native,329,123,494359,3570174
123_06,Native,360,123,493853,3571594
123_07,Native,418,123,494923,3571915
123_08,Native,459,123,494536,3572435
123_09,Native,307,123,494727,3573251
124_01,Native,217,124,492793,3568648
124_02,Native,182,124,493081,3568463
124_03,Native,269,124,494046,3568221
124_04,Native,262,124,493490,3569331
124_05,Native,240,124,494492,3569743
124_06,Native,269,124,495899,3569872
124_07,Native,252,124,495787,3570847
124_08,Native,267,124,496260,3570865
124_09,Native,174,124,497373,3570752
124_10,Native,247,124,495611,3571200
125_01,Native,349,125,493547,3563206
125_01a,Native,23,125,495371,3563787
125_02,Native,393,125,495687,3564152
125_02a,Native,28,125,495730,3564327
125_03,Native,91,125,497061,3564744
125_03a,Native,421,125,496998,3564771
125_04,Native,60,125,496109,3565766
125_04a,Native,24,125,495716,3565727
