"OBJECTID","NAME","neighborhood_id"
704,"Wakefield",239
705,"Tanque Verde and Pima",240
706,"Ladera Brisas",241
707,"Copper Vista",242
708,"Vista Del Monte",243
709,"Vista Del Pueblo",244
710,"Tres Pueblos",245
711,"El Dorado Office Condominium",246
712,"Adelanto",247
713,"Downtown",248
714,"St. Mary's Medical Park",249
715,"Samos",250
716,"Los Reales",251
717,"Golden Hills",252
718,"Myers",253
719,"Plaza Del Sol",254
720,"Anklam Peaks",255
721,"Harold Bell Wright Estates",256
722,"San Carlos",257
723,"McCall Addition",258
724,"Cushing Business Center",259
725,"Arroyo Ridge",260
726,"Saguaro Trails",261
727,"Brichta",262
728,"Dunbar Spring",263
729,"Alvernon and Drexel",264
730,"Rincon Country",265
731,"Rosemont Regency",266
732,"Catalina Heights",267
733,"Amphi",268
734,"Rancho Mirage",269
735,"Poets Square",270
736,"Old Spanish Trail",271
737,"La Granada",272
738,"Mountain First Avenue",273
739,"Saguaro Hill",274
740,"Bosque Perdido",275
741,"Rillito Riverside",276
742,"El Rio Acres",277
743,"Colonia Verde Plaza",278
744,"Casitas Del Sol",279
745,"Flowing Wells",280
746,"Milagro",281
747,"Oak Flower",282
748,"River View Estates",283
749,"Starr Pass and Greasewood",284
750,"Roberts",285
751,"Acacia Park",286
752,"Western States",287
753,"Desert Anchors",288
754,"La Madera",289
755,"Grant Road Industrial",290
756,"Toumey Park",291
757,"Marjack",292
758,"Thomas Jay Park",293
759,"Vista Del Rio",294
760,"Villa Caprice Condominiums",295
761,"Montage Vista",296
762,"Palo Verde",297
763,"Las Nubes",298
764,"Grant Road Commerical Block",299
765,"Western Hills II",300
766,"Maryland Hills",301
767,"Reddington Hills",302
768,"Old Fort Lowell",303
769,"Casitas De Palo Santo",304
770,"Prince Village",305
771,"Wilmot and Old Vail",306
772,"Double Acres",307
773,"Tanque Verde Place",308
774,"Houghton-Old Spanish Crossing",309
775,"Barrio Santa Rosa",310
776,"The Triangle",311
777,"Montrose Addition",312
778,"Empire Vista",313
779,"Country Glenn",314
780,"Rose Hill",315
781,"Stella Mann",316
782,"Saguaro Miraflores",317
783,"Hiawatha Hills and Teresa Terrace",318
784,"Kingswood",319
785,"Midvale Park",320
786,"Pima Medical Campus",321
787,"Carson Corner",322
788,"Haciendas Del Oeste",323
789,"Dietz",324
790,"Broadway and Rosemont",325
791,"St. Cyrils",326
792,"Airpark 10 Annexation District",327
793,"Sonoran Place",328
794,"Tanque Verde and Sabino Creeks",329
795,"Houghton East",330
796,"Eastside",331
797,"Tanglewood Terrace",332
798,"Campbell-Grant",333
799,"Southlands",334
800,"Rose",335
801,"Tanque Verde Bend",336
802,"Rosemont West",337
803,"Las Vistas",338
804,"Sugar Hill",339
805,"Villa Serena",340
806,"Warwick Village",341
807,"Old Pueblo Heights",342
808,"Broadway Proper",343
809,"Colonia Solana",344
810,"Pima Verde East",345
811,"Tucson Park West #1",346
812,"Feldman`s",347
813,"Alvernon and 29th",348
814,"Linden Park",349
815,"Desert Aire/Loma Linda",350
816,"Bach Property",351
817,"Silver Hills Estates",352
818,"Rolling Hills",353
819,"Udall Park",354
820,"Whitmore",355
821,"Vista Del Norte",356
822,"Grant and Craycroft Shopping Center",357
823,"Ironwood",358
824,"Rancho Perdido Estates",359
825,"Rainbow Vista Estates",360
826,"Arcadia Rose",361
827,"Kolb Executive Park",362
828,"Southeast Fringe",363
829,"Reid - Randolph",364
830,"Tanque Verde Country Estates",365
831,"Broadway Pantano Center",366
832,"Cloverleaf Addition",367
833,"Drexel Park",368
834,"Peter Howell",369
835,"Minarik Estates",370
836,"San Gabriel",371
837,"Sam Hughes",372
838,"Cragin",373
839,"Julian Wash Archaeological",374
840,"El Presidio",375
841,"Panorama Estates",376
842,"Sombras Del Cerro",377
843,"Columbus Village",378
844,"Mountain View",379
845,"Pio Decimo",380
846,"Westwood Estates",381
847,"Santa Maria",382
848,"Laura Linda Parkview",383
849,"Winterhaven",384
850,"Kendall Square",385
851,"Rillito Bend",386
852,"Bravo Park Lane",387
853,"Rancho Bueno",388
854,"Julia Keen",389
855,"West Lamar",390
856,"Frontier West Estates",391
857,"El Con Mall",392
858,"Fairhaven",393
859,"Ironwood Ridge",394
860,"Avondale",395
861,"Centre Park",396
862,"Bronx Park",397
863,"Valencia-Kolb",398
864,"Iron Horse",399
865,"Sunset Villa",400
866,"Woodland Hills",401
867,"Colinas De Oro",402
868,"Eastwind",403
869,"Barrio Kroeger Lane",404
870,"Saguaro Canyon",405
871,"Campana de Plata",406
872,"Santa Rita Park",407
873,"River Forest",408
874,"Mitman",409
875,"Westridge Estates",410
876,"Desert Palms Park",411
877,"A Mountain",412
878,"Swan Way Park",413
879,"Barrio San Antonio",414
880,"Campus Farm",415
881,"Balboa Heights",416
882,"Sierra Estates",417
883,"Limberlost",418
884,"Lakeside Park",419
885,"West Branch Santa Cruz",420
886,"Tanque Verde Professional Plaza",421
887,"Casa Real",422
888,"Southland Park",423
889,"Pantano Overlook",424
890,"Palo Verde Park",425
891,"Perrine Addition",426
892,"Bear Canyon",427
893,"Haven Ridge",428
894,"Mountain Vail",429
895,"Rincon Aviador",430
896,"Kino Gateway",431
897,"Vista Del Rio",432
898,"Alvernon Heights",433
899,"San Ignacio Yaqui",434
900,"Pantano Parkview",435
901,"Westside Development",436
902,"Adobe Manor",437
903,"Eastern Hills",438
904,"The Enclave",439
905,"Arcadia Square",440
906,"Tucson Mall",441
907,"Coyote Corridor",442
908,"Heromsa Highlands",443
909,"Evergreen",444
910,"El Montevideo",445
911,"Kleindale",446
912,"Northmall Centre",447
913,"Loma Verde",448
914,"National City Southwest",449
915,"Foothills Heights",450
916,"Grabe Industrial",451
917,"Rancho Esperero",452
918,"Tanque Verde and Grant (North)",453
919,"Mission Circle",454
