siteID,routeID,native,nonnative,total,easting,northing
114_12,114,386,53,439,495185,3573021
115_01,115,328,142,470,498123,3572659
115_02,115,355,199,554,499988,3572027
115_03,115,428,225,653,500232,3572847
115_04,115,298,158,456,501217,3572253
115_05,115,346,181,527,498962,3573297
115_06,115,442,149,591,500960,3573138
115_07,115,288,85,373,498794,3574162
115_08,115,548,93,641,500904,3574237
115_09,115,415,177,592,498115,3575216
115_10,115,452,104,556,498493,3576690
115_11,115,486,53,539,499362,3576715
115_12,115,507,19,526,499995,3577311
116_01,116,357,1,358,491247,3575786
116_02,116,390,44,434,491788,3576802
116_03,116,320,12,332,491776,3577072
116_04,116,347,12,359,492512,3577137
116_05,116,235,65,300,493983,3577288
116_05a,116,22,0,22,493734,3577248
116_06,116,256,37,293,494852,3577679
116_07,116,316,110,426,495917,3577458
116_08,116,290,144,434,496918,3577095
116_09,116,435,61,496,497611,3577477
116_10,116,437,107,544,498537,3577425
116_11,116,334,20,354,497223,3578357
116_11a,116,14,2,16,497556,3578446
116_12,116,227,157,384,498674,3578241
117_01,117,216,47,263,497073,3572902
117_02,117,343,25,368,496495,3573444
117_03,117,241,211,452,497661,3573864
117_04,117,285,45,330,495974,3574638
117_05,117,288,127,415,497943,3574505
117_06,117,276,37,313,496108,3575343
117_07,117,299,200,499,496898,3575240
117_08,117,249,83,332,497302,3576139
117_09,117,276,48,324,495191,3576019
117_10,117,462,158,620,495801,3576737
117_11,117,337,70,407,496393,3576834
117_12,117,251,30,281,497580,3576211
118_01,118,235,0,235,489759,3575567
118_02,118,201,0,201,490743,3575450
118_03,118,216,0,216,487225,3576673
118_04,118,162,0,162,488214,3576203
118_04a,118,7,0,7,488151,3576111
118_05,118,283,11,294,489756,3576265
118_06,118,227,2,229,490636,3576135
118_07,118,196,1,197,487135,3577913
118_08,118,235,5,240,488786,3577571
118_08a,118,37,1,38,488810,3577207
118_09,118,208,16,224,490049,3577015
118_10,118,262,9,271,490394,3577135
119_01,119,320,5,325,491669,3573065
119_02,119,259,8,267,492346,3573732
119_03,119,310,4,314,491743,3574523
119_04,119,324,37,361,492455,3574123
119_05,119,218,3,221,493360,3574818
119_06,119,201,0,201,494113,3574002
119_07,119,255,0,255,495172,3574386
119_08,119,177,0,177,492105,3575049
119_09,119,293,12,305,493141,3575468
119_10,119,198,3,201,493949,3575832
119_11,119,304,9,313,492085,3576860
119_12,119,292,0,292,493695,3576375
120_01,120,158,2,160,490910,3572512
120_02,120,231,0,231,491698,3572644
120_03,120,231,36,267,492359,3572001
120_04,120,240,16,256,493161,3572467
120_05,120,266,2,268,490736,3573680
120_06,120,242,12,254,493439,3573279
120_07,120,165,0,165,488695,3574858
120_08,120,200,1,201,489788,3574257
120_09,120,127,0,127,490033,3574797
120_10,120,119,0,119,488906,3575164
121_01,121,275,20,295,488615,3572434
121_02,121,164,0,164,489680,3571807
121_03,121,192,16,208,490269,3572303
121_04,121,246,5,251,491692,3571654
121_05,121,335,12,347,492249,3571974
121_07,121,259,4,263,489333,3572433
121_09,121,307,3,310,489634,3573862
122_01,122,89,0,89,490122,3569035
122_01a,122,189,0,189,490200,3568866
122_02,122,135,2,137,492298,3569021
122_02a,122,56,0,56,491505,3568544
122_03,122,98,0,98,489042,3569985
122_03a,122,62,0,62,488721,3569567
122_04,122,249,1,250,489513,3569382
122_05,122,304,2,306,490166,3569638
122_06,122,270,0,270,491083,3569816
122_06a,122,67,0,67,491593,3569785
122_07,122,85,0,85,489454,3571511
122_07a,122,84,2,86,488832,3570738
122_07b,122,46,0,46,488653,3571137
122_08,122,64,0,64,489540,3570574
122_08a,122,201,2,203,489030,3570680
122_09,122,314,0,314,490899,3570389
122_12,122,45,0,45,492268,3571384
123_01,123,335,5,340,492868,3569894
123_03,123,293,6,299,492472,3570675
123_04,123,335,15,350,494043,3571059
123_05,123,329,9,338,494359,3570174
123_06,123,360,82,442,493853,3571594
123_07,123,418,68,486,494923,3571915
123_08,123,459,29,488,494536,3572435
123_09,123,307,13,320,494727,3573251
124_01,124,217,0,217,492793,3568648
124_02,124,182,10,192,493081,3568463
124_03,124,269,7,276,494046,3568221
124_04,124,262,3,265,493490,3569331
124_05,124,240,4,244,494492,3569743
124_06,124,269,55,324,495899,3569872
124_07,124,252,56,308,495787,3570847
124_08,124,267,6,273,496260,3570865
124_09,124,174,33,207,497373,3570752
124_10,124,247,17,264,495611,3571200
125_01,125,349,0,349,493547,3563206
125_01a,125,23,1,24,495371,3563787
125_02,125,393,7,400,495687,3564152
125_02a,125,28,0,28,495730,3564327
125_03,125,91,4,95,497061,3564744
125_03a,125,421,78,499,496998,3564771
125_04,125,60,0,60,496109,3565766
125_04a,125,24,0,24,495716,3565727
125_04b,125,183,1,184,496105,3565827
125_05,125,339,2,341,496536,3565502
125_06,125,335,7,342,492365,3567313
125_07,125,309,0,309,494080,3565986
125_07a,125,33,0,33,494382,3566070
125_08,125,182,2,184,495741,3566345
125_09,125,338,15,353,492570,3567733
125_10,125,211,17,228,493456,3567334
125_10a,125,97,1,98,493243,3567024
125_11,125,321,1,322,494540,3567511
125_11a,125,25,0,25,494754,3567316
126_01a,126,20,0,20,493088,3563288
126_02,126,153,0,153,494070,3563500
126_02a,126,12,0,12,494274,3563696
126_03,126,170,0,170,491998,3565052
126_04,126,190,0,190,493187,3564435
126_04a,126,14,0,14,493034,3564930
126_05,126,152,0,152,493924,3564842
126_05a,126,28,0,28,494565,3564301
126_06,126,194,0,194,491860,3565490
126_07,126,223,7,230,493158,3565883
126_07a,126,23,0,23,493158,3565400
126_08,126,157,0,157,494321,3565886
126_08a,126,14,0,14,494470,3565988
126_09,126,146,3,149,493758,3567267
127_02,127,339,1,340,494755,3562171
127_03,127,229,2,231,493258,3560916
127_04a,127,31,0,31,495956,3561831
127_07,127,402,23,425,492177,3562274
127_08,127,184,2,186,493606,3562707
127_09,127,185,0,185,494013,3562508
128_01,128,405,12,417,495804,3562827
128_02,128,352,1,353,496684,3562118
128_03,128,423,49,472,497956,3562049
128_04,128,423,71,494,498376,3562814
128_05,128,304,53,357,499015,3562041
128_06,128,276,204,480,500078,3562269
128_07,128,300,125,425,501260,3562310
128_08,128,285,247,532,502679,3562797
128_09,128,454,92,546,496933,3563660
128_10,128,374,101,475,497425,3563453
129_01,129,310,100,410,497519,3567554
129_02,129,314,112,426,498135,3567103
129_03,129,436,29,465,497592,3568677
129_04,129,270,71,341,498992,3568119
129_05,129,181,119,300,499677,3568066
129_06,129,232,82,314,499952,3568711
129_07,129,405,627,1032,499642,3569196
129_08,129,222,108,330,500938,3569076
129_09,129,357,400,757,500262,3571022
129_10,129,265,208,473,501717,3570767
129_11,129,257,223,480,502638,3570923
129_12,129,345,195,540,503875,3570237
130_01,130,244,5,249,497901,3565829
130_02,130,535,51,586,496796,3566842
130_03,130,442,44,486,497546,3566564
130_04,130,222,3,225,498108,3565920
130_05,130,435,39,474,495907,3567329
130_06,130,358,54,412,496141,3566994
130_06a,130,38,5,43,496072,3566980
130_07,130,320,21,341,495108,3568198
130_08,130,379,41,420,496807,3568736
130_08a,130,43,2,45,496688,3568694
130_09,130,519,44,563,496606,3569838
130_10,130,310,53,363,497856,3569580
130_11,130,277,134,411,498462,3569369
131_01,131,334,27,361,497095,3564697
131_02,131,346,29,375,498100,3564558
131_03,131,297,29,326,498830,3565779
131_04,131,355,15,370,499910,3565356
131_05,131,337,62,399,499491,3566188
131_06,131,637,204,841,499274,3567424
