siteID,routeID,native,nonnative,total,easting,northing
160_11a,160,249,2,251,521339,3567663
161_01,161,487,2,489,524918,3567731
161_02,161,449,38,487,525475,3567513
161_03,161,385,11,396,524775,3568498
161_04,161,501,72,573,525314,3568123
161_05,161,118,5,123,524280,3569165
161_05a,161,293,4,297,524374,3569360
161_06,161,486,68,554,524647,3570420
161_07,161,514,2,516,524270,3571556
161_08,161,483,11,494,525756,3571388
161_09,161,118,0,118,525329,3572652
161_10,161,421,0,421,526295,3572725
162_01,162,271,4,275,526643,3567854
162_02,162,283,0,283,527828,3567901
162_03,162,259,13,272,526137,3568256
162_04,162,232,1,233,527477,3568395
162_05,162,305,1,306,525550,3569659
162_06,162,295,2,297,526266,3569921
162_07,162,221,4,225,527874,3569698
162_08,162,275,3,278,525780,3570110
162_08a,162,18,0,18,525800,3570296
162_09,162,241,2,243,526480,3570940
162_10,162,257,0,257,526289,3571454
163_01,163,248,22,270,523041,3559695
163_02,163,265,60,325,523733,3560096
163_03,163,235,33,268,523926,3561537
163_04,163,247,149,396,520064,3562841
163_05,163,305,81,386,520790,3562780
163_06,163,253,86,339,521656,3562640
163_07,163,248,74,322,522104,3562683
163_08,163,229,29,258,523159,3562166
163_09,163,241,45,286,519192,3563744
163_10,163,212,86,298,519664,3564689
163_11,163,250,86,336,519646,3565717
163_12,163,244,45,289,519029,3566160
164_01,164,509,269,778,520553,3563826
164_02,164,451,76,527,521609,3563745
164_03,164,456,90,546,522058,3563828
164_04,164,459,0,459,523348,3563938
164_05,164,454,127,581,520299,3564129
164_06,164,360,211,571,521061,3564219
164_07,164,430,4,434,523958,3564334
164_08,164,452,10,462,524051,3564746
164_09,164,338,1,339,525726,3564577
164_10,164,489,69,558,520784,3565583
164_11,164,497,7,504,525751,3565364
165_01,165,296,33,329,525063,3555904
165_02,165,265,12,277,524979,3556849
165_03,165,294,4,298,524712,3558108
165_04,165,187,4,191,526015,3558493
165_05,165,177,3,180,524715,3558921
165_06,165,204,8,212,525071,3558161
165_07,165,286,39,325,524631,3559946
165_08,165,292,25,317,524309,3560213
165_09,165,218,1,219,525078,3560557
165_10,165,246,29,275,524222,3561423
165_11,165,246,3,249,525457,3561666
165_12,165,318,48,366,524521,3562354
165_13,165,320,28,348,524240,3563544
166_01,166,234,115,349,515187,3558535
166_02,166,301,69,370,517117,3558644
166_03,166,373,183,556,515965,3559896
166_04,166,279,82,361,516267,3559439
166_05,166,289,27,316,518123,3559031
166_06,166,282,137,419,515403,3559940
166_07,166,242,177,419,516259,3560069
166_08,166,312,79,391,517601,3560489
166_09,166,315,74,389,518747,3560074
166_09a,166,57,41,98,518562,3560656
166_10,166,208,75,283,515360,3561701
166_11,166,147,60,207,516494,3561646
167_01,167,245,75,320,521614,3557500
167_02,167,224,7,231,522116,3557774
167_03,167,203,24,227,521814,3558531
167_04,167,305,73,378,522227,3558985
167_05,167,211,8,219,523074,3559195
167_05a,167,17,2,19,523267,3558093
167_06,167,230,18,248,521586,3559641
167_07,167,234,18,252,522441,3559561
167_08,167,262,109,371,519371,3560784
167_09,167,283,73,356,520200,3560834
167_10,167,198,9,207,521542,3560399
167_11,167,252,5,257,523010,3559392
167_11a,167,16,0,16,522572,3559597
168_01,168,74,11,85,521419,3555657
168_02,168,52,0,52,522674,3553679
168_03,168,68,0,68,523680,3555008
168_04,168,159,17,176,521660,3555259
168_05,168,171,3,174,522261,3555270
168_06,168,120,2,122,523631,3555774
168_07,168,93,14,107,521727,3556872
168_08,168,180,12,192,522518,3556893
168_09,168,163,55,218,523355,3556887
168_10,168,177,39,216,523080,3557570
169_01,169,106,0,106,519857,3554941
169_02,169,71,0,71,520832,3554287
169_03,169,105,0,105,520717,3555242
169_04,169,112,0,112,520287,3556166
169_05,169,113,1,114,520687,3557806
169_06,169,183,21,204,518209,3558846
169_07,169,153,16,169,519008,3558654
169_08,169,131,96,227,521019,3558763
169_09,169,190,13,203,518883,3559299
169_10,169,134,1,135,519917,3559296
169_11,169,206,96,302,520516,3559297
170_01,170,382,112,494,505873,3576156
170_02,170,294,15,309,505374,3577543
170_03,170,283,19,302,503993,3578496
170_04,170,320,10,330,504513,3578636
170_05,170,297,4,301,506306,3578748
170_06,170,337,28,365,503141,3579408
170_07,170,276,10,286,504057,3579631
170_08,170,264,2,266,505277,3579073
170_09,170,375,69,444,503129,3580106
170_10,170,331,18,349,503317,3581348
170_11,170,295,2,297,503659,3582616
170_12,170,373,4,377,504347,3582747
171_01,171,138,51,189,491211,3557343
171_02,171,189,0,189,492851,3556840
171_03,171,305,42,347,493435,3556807
171_04,171,137,6,143,491285,3558673
171_05,171,185,34,219,492360,3558690
171_06,171,131,35,166,493188,3558756
171_07,171,189,68,257,491806,3559077
171_08,171,176,34,210,492434,3559065
171_09,171,212,24,236,491900,3560578
171_10,171,159,16,175,492423,3560042
171_11,171,240,165,405,491606,3561460
171_12,171,434,154,588,492368,3561742
172_01,172,404,70,474,504150,3583346
172_04,172,369,20,389,504800,3584990
172_05,172,205,7,212,505214,3584693
172_06,172,171,6,177,505606,3584532
172_07,172,329,13,342,505731,3585668
172_08,172,222,4,226,505893,3585429
172_09,172,247,7,254,506527,3586548
173_01,173,236,51,287,498177,3581525
173_02,173,212,52,264,499692,3581806
173_03,173,290,74,364,500750,3581780
173_03a,173,49,3,52,499851,3581130
173_04,173,243,21,264,500163,3582864
173_05,173,326,14,340,501597,3582621
173_06,173,285,30,315,502200,3582666
173_07,173,335,115,450,501246,3583284
173_08,173,288,70,358,502358,3583918
173_09,173,238,64,302,503136,3583154
173_10,173,273,112,385,502598,3584219
173_11,173,335,16,351,503054,3584697
174_01,174,518,3,521,500604,3583229
174_02,174,387,38,425,500561,3584699
174_03,174,238,108,346,501740,3584708
174_04,174,195,41,236,500461,3585811
174_05,174,267,20,287,501618,3585445
174_05a,174,39,2,41,501535,3585476
174_06,174,285,9,294,502234,3585857
174_07,174,567,25,592,502810,3585087
174_08,174,348,6,354,504039,3585244
174_09,174,310,4,314,503343,3586372
174_10,174,304,1,305,504659,3586244
174_11,174,360,53,413,505283,3586722
174_11a,174,50,0,50,505319,3586456
174_12,174,314,7,321,504781,3587334
175_01,175,225,0,225,491728,3578684
175_02,175,203,23,226,492472,3578642
175_03,175,218,34,252,493641,3578257
175_04,175,190,70,260,494764,3578555
175_05,175,230,66,296,495542,3578727
175_06,175,183,59,242,496193,3578722
175_07,175,207,49,256,496151,3579732
175_08,175,272,17,289,497777,3579410
175_09,175,229,29,258,497194,3580706
175_10,175,235,10,245,498309,3580656
175_11,175,245,32,277,497192,3581494
175_12,175,262,6,268,497992,3582449
176_01,176,194,0,194,487439,3578713
176_02,176,161,2,163,488435,3578517
176_02a,176,60,0,60,488660,3578438
176_03,176,278,16,294,489529,3578156
176_04,176,243,16,259,490129,3578173
176_05,176,202,11,213,488391,3579266
176_06,176,149,22,171,489229,3579416
176_07,176,396,25,421,490455,3579683
176_08,176,365,0,365,491484,3579305
176_09,176,112,29,141,488233,3580533
176_10,176,188,49,237,489349,3580135
176_11,176,174,75,249,491623,3580450
176_12,176,223,57,280,492139,3580703
177_01,177,340,100,440,492748,3579429
177_02,177,410,74,484,493296,3579777
177_03,177,442,123,565,494782,3579730
177_04,177,469,225,694,495443,3579170
177_05,177,40,1,41,493257,3580250
177_05a,177,228,7,235,493218,3580781
177_06,177,528,82,610,494603,3580431
177_07,177,322,96,418,495682,3580748
177_08,177,268,78,346,496431,3580641
177_08a,177,240,34,274,496308,3580600
177_09,177,96,2,98,491304,3581197
177_09a,177,203,4,207,491386,3581632
177_10,177,329,122,451,492598,3581865
177_11,177,313,196,509,493625,3581616
177_12,177,221,27,248,494106,3581127
177_12a,177,201,26,227,494363,3581045
178_01,178,206,19,225,490805,3580650
178_02,178,266,18,284,489356,3581322
178_03,178,167,6,173,490397,3581589
178_04,178,269,50,319,495241,3581488
178_05,178,255,45,300,496177,3581441
178_06,178,116,1,117,490725,3582839
178_07,178,164,12,176,491508,3582438
178_08,178,206,20,226,492533,3582363
178_09,178,237,40,277,493854,3582353
178_10,178,160,10,170,494080,3582621
178_11,178,248,38,286,495038,3581971
178_12,178,203,57,260,496236,3582445
179_01,179,115,4,119,486361,3578171
179_02,179,147,0,147,486493,3579770
179_03,179,143,1,144,487383,3579433
179_04,179,116,9,125,486309,3580403
179_05,179,129,26,155,487563,3580450
179_06,179,189,11,200,486798,3581494
179_07,179,46,0,46,487095,3581487
179_07a,179,67,18,85,487129,3581516
179_08,179,146,40,186,488862,3581535
179_09,179,127,2,129,486587,3582207
179_10,179,144,48,192,487552,3582300
179_11,179,113,47,160,488361,3582429
179_12,179,335,3,338,489232,3582088
180_01,180,164,17,181,498606,3582957
180_01a,180,111,0,111,498477,3582834
180_02,180,296,6,302,499854,3581918
180_03,180,315,23,338,493257,3582939
180_04,180,381,25,406,494896,3583789
180_05,180,475,86,561,495831,3583116
180_06,180,363,27,390,496911,3583746
180_07,180,406,18,424,497591,3583591
180_08,180,165,0,165,498665,3583396
180_08a,180,135,1,136,498461,3583450
180_09,180,400,23,423,499329,3583176
180_10,180,290,9,299,497513,3584753
180_11,180,283,0,283,498498,3584039
180_12,180,212,6,218,499657,3584373
181_01,181,128,15,143,502346,3586794
181_01a,181,205,9,214,502544,3586772
181_02,181,97,7,104,501681,3587344
181_02a,181,131,2,133,501584,3587504
181_03,181,312,4,316,502221,3587860
181_04,181,242,3,245,503791,3587423
181_05,181,309,5,314,501552,3588206
181_06,181,391,22,413,502498,3588215
181_07,181,179,64,243,501576,3589312
181_08,181,341,98,439,502275,3589489
181_09,181,288,6,294,501794,3590577
181_10,181,307,15,322,502189,3590837
181_11,181,300,33,333,501207,3591096
182_01,182,357,15,372,498294,3586675
182_02,182,450,64,514,499390,3586467
182_03,182,435,47,482,500796,3586579
182_04,182,386,6,392,501387,3586079
182_05,182,414,33,447,499814,3587114
182_06,182,310,59,369,500677,3587354
182_07,182,295,13,308,500135,3587540
182_08,182,389,3,392,500431,3589199
182_09,182,310,0,310,500214,3590273
182_10,182,328,4,332,500037,3591207
182_11,182,396,29,425,501966,3590712
183_01,183,231,0,231,492839,3583593
183_02,183,222,0,222,492898,3585426
183_03,183,249,6,255,493246,3584273
183_04,183,272,8,280,494621,3584251
183_05,183,221,16,237,495483,3584671
183_06,183,292,36,328,496252,3584459
183_07,183,217,6,223,495402,3585872
183_08,183,257,12,269,496408,3585287
183_09,183,265,4,269,497455,3585062
183_10,183,224,29,253,498777,3585560
183_11,183,318,87,405,499356,3585286
184_01,184,188,38,226,490031,3557225
184_02,184,151,67,218,490323,3557686
184_03a,184,37,0,37,489055,3558321
184_04,184,233,24,257,490805,3558678
184_05,184,261,63,324,489040,3559835
184_06,184,286,48,334,490874,3559798
184_07,184,249,1,250,489453,3561123
184_08,184,257,2,259,490285,3560897
184_09,184,262,10,272,489869,3561364
184_10,184,205,0,205,490258,3561854
184_10a,184,10,0,10,490402,3561736
184_11a,184,65,0,65,490053,3562316
184_12,184,298,31,329,491723,3562505
185_01,185,272,0,272,496853,3560629
185_02,185,228,0,228,497675,3560815
185_03,185,311,2,313,496057,3561438
185_04,185,362,1,363,496822,3561476
185_05,185,446,19,465,497729,3561405
