"","siteID","n","routeID","easting","northing"
"177","115_09",25,115,498115,3575216
"178","115_10",20,115,498493,3576690
"179","115_11",24,115,499362,3576715
"180","115_12",28,115,499995,3577311
"181","116_01",32,116,491247,3575786
"182","116_02",29,116,491788,3576802
"183","116_03",27,116,491776,3577072
"184","116_04",45,116,492512,3577137
"185","116_05",32,116,493983,3577288
"186","116_05a",3,116,493734,3577248
"187","116_06",24,116,494852,3577679
"188","116_07",22,116,495917,3577458
"189","116_08",30,116,496918,3577095
"190","116_09",32,116,497611,3577477
"191","116_10",37,116,498537,3577425
"192","116_11",24,116,497223,3578357
"193","116_11a",8,116,497556,3578446
"194","116_12",24,116,498674,3578241
"195","117_01",20,117,497073,3572902
"196","117_02",31,117,496495,3573444
"197","117_03",21,117,497661,3573864
"198","117_04",32,117,495974,3574638
"199","117_05",19,117,497943,3574505
"200","117_06",24,117,496108,3575343
"201","117_07",21,117,496898,3575240
"202","117_08",19,117,497302,3576139
"203","117_09",23,117,495191,3576019
"204","117_10",18,117,495801,3576737
"205","117_11",21,117,496393,3576834
"206","117_12",24,117,497580,3576211
"207","118_01",24,118,489759,3575567
"208","118_02",25,118,490743,3575450
"209","118_03",24,118,487225,3576673
"210","118_04",29,118,488214,3576203
"211","118_04a",4,118,488151,3576111
"212","118_05",28,118,489756,3576265
"213","118_06",28,118,490636,3576135
"214","118_07",29,118,487135,3577913
"215","118_08",25,118,488786,3577571
"216","118_08a",12,118,488810,3577207
"217","118_09",26,118,490049,3577015
"218","118_10",26,118,490394,3577135
"219","119_01",18,119,491669,3573065
"220","119_02",30,119,492346,3573732
"221","119_03",27,119,491743,3574523
"222","119_04",25,119,492455,3574123
"223","119_05",30,119,493360,3574818
"224","119_06",23,119,494113,3574002
"225","119_07",32,119,495172,3574386
"226","119_08",15,119,492105,3575049
"227","119_09",29,119,493141,3575468
"228","119_10",33,119,493949,3575832
"229","119_11",24,119,492085,3576860
"230","119_12",37,119,493695,3576375
"231","120_01",22,120,490910,3572512
"232","120_02",17,120,491698,3572644
"233","120_03",22,120,492359,3572001
"234","120_04",17,120,493161,3572467
"235","120_05",20,120,490736,3573680
"236","120_06",24,120,493439,3573279
"237","120_07",18,120,488695,3574858
"238","120_08",21,120,489788,3574257
"239","120_09",13,120,490033,3574797
"240","120_10",22,120,488906,3575164
"241","121_01",25,121,488615,3572434
"242","121_02",20,121,489680,3571807
"243","121_03",25,121,490269,3572303
"244","121_04",24,121,491692,3571654
"245","121_05",28,121,492249,3571974
"246","121_07",26,121,489333,3572433
"247","121_09",26,121,489634,3573862
"248","122_01",13,122,490122,3569035
"249","122_01a",20,122,490200,3568866
"250","122_02",23,122,492298,3569021
"251","122_02a",17,122,491505,3568544
"252","122_03",18,122,489042,3569985
"253","122_03a",17,122,488721,3569567
"254","122_04",20,122,489513,3569382
"255","122_05",24,122,490166,3569638
