"","siteID","native.US","n","routeID","easting","northing"
"1","101_01","Native",22,101,507455,3562118
"2","101_01","Non-native",4,101,507455,3562118
"3","101_02","Native",15,101,507765,3563197
"4","101_02","Non-native",3,101,507765,3563197
"5","101_03","Native",23,101,508686,3563197
"6","101_03","Non-native",3,101,508686,3563197
"7","101_04","Native",24,101,508465,3564469
"8","101_04","Non-native",3,101,508465,3564469
"9","101_05","Native",19,101,509149,3564153
"10","101_05","Non-native",3,101,509149,3564153
"11","101_06","Native",13,101,509733,3565237
"12","101_06","Non-native",4,101,509733,3565237
"13","101_07","Native",12,101,509102,3566562
"14","101_07","Non-native",3,101,509102,3566562
"15","101_08","Native",17,101,510744,3566147
"16","101_08","Non-native",4,101,510744,3566147
"17","101_09","Native",14,101,510123,3567779
"18","101_09","Non-native",3,101,510123,3567779
"19","101_10","Native",19,101,511119,3567754
"20","101_10","Non-native",3,101,511119,3567754
"21","101_11","Native",12,101,511325,3568072
"22","101_11","Non-native",3,101,511325,3568072
"23","101_12","Native",18,101,511686,3569191
"24","101_12","Non-native",3,101,511686,3569191
"25","102_01","Native",21,102,508468,3566481
"26","102_01","Non-native",3,102,508468,3566481
"27","102_02","Native",17,102,508204,3567234
"28","102_02","Non-native",4,102,508204,3567234
"29","102_03","Native",18,102,509715,3567276
"30","102_03","Non-native",4,102,509715,3567276
"31","102_04","Native",21,102,509505,3568568
"32","102_04","Non-native",4,102,509505,3568568
"33","102_05","Native",24,102,511065,3568389
"34","102_05","Non-native",4,102,511065,3568389
"35","102_06","Native",32,102,510663,3569700
"36","102_06","Non-native",3,102,510663,3569700
"37","102_07","Native",23,102,510288,3569872
"38","102_07","Non-native",3,102,510288,3569872
"39","102_08","Native",21,102,510511,3571188
"40","102_08","Non-native",1,102,510511,3571188
"41","102_09","Native",23,102,510705,3572574
"42","102_09","Non-native",2,102,510705,3572574
"43","102_10","Native",21,102,511557,3572802
"44","102_10","Non-native",2,102,511557,3572802
"45","102_11","Native",21,102,512084,3572892
"46","102_11","Non-native",1,102,512084,3572892
"47","103_01","Native",25,103,512199,3570673
"48","103_01","Non-native",1,103,512199,3570673
"49","103_02","Native",21,103,512734,3570779
"50","103_02","Non-native",2,103,512734,3570779
"51","103_03","Native",22,103,513809,3570239
"52","103_03","Non-native",1,103,513809,3570239
"53","103_04","Native",25,103,514608,3570262
"54","103_04","Non-native",2,103,514608,3570262
"55","103_05","Native",19,103,515989,3570276
"56","103_05","Non-native",2,103,515989,3570276
"57","103_06","Native",22,103,516611,3570213
"58","103_06","Non-native",2,103,516611,3570213
"59","103_07","Native",22,103,511226,3571291
"60","103_07","Non-native",2,103,511226,3571291
"61","103_08","Native",25,103,517366,3572924
"62","103_08","Non-native",1,103,517366,3572924
"63","103_09","Native",18,103,516553,3572993
"64","103_09","Non-native",1,103,516553,3572993
"65","103_10","Native",23,103,516963,3573260
"66","103_10","Non-native",1,103,516963,3573260
"67","103_11","Native",22,103,516850,3574119
"68","103_11","Non-native",1,103,516850,3574119
"69","103_12","Native",31,103,516329,3575610
"70","103_12","Non-native",1,103,516329,3575610
"71","104_01","Native",16,104,507650,3563241
"72","104_01","Non-native",3,104,507650,3563241
"73","104_02","Native",18,104,507727,3564495
"74","104_02","Non-native",3,104,507727,3564495
"75","104_03","Native",19,104,507381,3565621
"76","104_03","Non-native",3,104,507381,3565621
"77","104_04","Native",10,104,507967,3565803
"78","104_04","Non-native",4,104,507967,3565803
"79","104_05","Native",13,104,507094,3566833
"80","104_05","Non-native",4,104,507094,3566833
"81","104_06","Native",15,104,507327,3567382
"82","104_06","Non-native",3,104,507327,3567382
"83","104_07","Native",14,104,507082,3568105
"84","104_07","Non-native",3,104,507082,3568105
"85","104_08","Native",13,104,508648,3568445
"86","104_08","Non-native",3,104,508648,3568445
"87","104_09","Native",11,104,508209,3569807
