"decimalLatitude","decimalLongitude","family","species","year","month","day","datasetKey","gbifID"
32.126707,-110.807878,"Columbidae","Zenaida macroura",2017,3,21,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","1453535041"
32.131556,-110.815641,"Accipitridae","Buteo jamaicensis",2017,3,21,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","1453535089"
32.132511,-110.817563,"Columbidae","Zenaida macroura",2017,4,6,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","1457617702"
32.125823,-110.806391,"Cuculidae","Geococcyx californianus",2017,4,6,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","1457617623"
32.125138,-110.802722,"Mimidae","Toxostoma curvirostre",2017,4,6,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","1457617731"
32.124524,-110.803207,"Emberizidae","Chondestes grammacus",2017,4,4,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","1457617937"
32.12439,-110.80333,"Emberizidae","Pooecetes gramineus",2017,4,4,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","1457617873"
32.123663,-110.805599,"Cathartidae","Cathartes aura",2017,4,15,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","1500246678"
32.126299,-110.806905,"Columbidae","Zenaida macroura",2017,12,23,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","1802723663"
32.126258,-110.803771,"Accipitridae","Buteo jamaicensis",2017,12,23,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","1802723670"
32.13043,-110.813739,"Accipitridae","Buteo jamaicensis",2017,12,23,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","1802723688"
32.131364,-110.81532,"Accipitridae","Buteo jamaicensis",2018,3,22,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","1837094485"
32.121258,-110.81364,"Columbidae","Zenaida asiatica",2020,4,25,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3167993432"
32.121258,-110.81364,"Odontophoridae","Callipepla gambelii",2020,4,25,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3149882477"
32.121258,-110.81364,"Cuculidae","Geococcyx californianus",2020,4,25,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3153288666"
32.121258,-110.81364,"Accipitridae","Buteo jamaicensis",2020,4,25,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3167566609"
32.121258,-110.81364,"Mimidae","Mimus polyglottos",2020,4,25,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3167156571"
32.121258,-110.81364,"Mimidae","Toxostoma curvirostre",2020,4,25,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3147427418"
32.121258,-110.81364,"Troglodytidae","Campylorhynchus brunneicapillus",2020,4,25,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3148873483"
32.121258,-110.81364,"Columbidae","Zenaida asiatica",2020,4,25,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3163454748"
32.121258,-110.81364,"Odontophoridae","Callipepla gambelii",2020,4,25,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3161190689"
32.121258,-110.81364,"Cuculidae","Geococcyx californianus",2020,4,25,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3146264717"
32.121258,-110.81364,"Accipitridae","Buteo jamaicensis",2020,4,25,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3162478744"
32.121258,-110.81364,"Mimidae","Mimus polyglottos",2020,4,25,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3145425508"
32.121258,-110.81364,"Mimidae","Toxostoma curvirostre",2020,4,25,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3155900518"
32.121258,-110.81364,"Troglodytidae","Campylorhynchus brunneicapillus",2020,4,25,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3155308569"
32.121258,-110.81364,"Mimidae","Toxostoma curvirostre",2021,4,3,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3683654821"
32.121258,-110.81364,"Accipitridae","Buteo jamaicensis",2021,4,3,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3680419813"
32.121258,-110.81364,"Columbidae","Zenaida macroura",2021,4,3,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3682676396"
32.121258,-110.81364,"Troglodytidae","Campylorhynchus brunneicapillus",2021,4,3,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3682705888"
32.121258,-110.81364,"Mimidae","Mimus polyglottos",2021,4,3,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3685531430"
32.121258,-110.81364,"Trochilidae","Calypte anna",2021,4,3,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3691981915"
32.121258,-110.81364,"Mimidae","Toxostoma curvirostre",2021,4,3,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3692483324"
32.121258,-110.81364,"Accipitridae","Buteo jamaicensis",2021,4,3,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3687640191"
32.121258,-110.81364,"Columbidae","Zenaida macroura",2021,4,3,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3691683763"
32.121258,-110.81364,"Troglodytidae","Campylorhynchus brunneicapillus",2021,4,3,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3521818101"
32.121258,-110.81364,"Mimidae","Mimus polyglottos",2021,4,3,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3524146458"
32.121258,-110.81364,"Trochilidae","Calypte anna",2021,4,3,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3530343959"
