"decimalLatitude","decimalLongitude","family","species","year","month","day","datasetKey","gbifID"
32.206979,-110.884084,"Picidae","Melanerpes uropygialis",2017,8,16,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","3784782546"
32.206993,-110.88664,"Accipitridae","Buteo jamaicensis",2017,11,8,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2091754252"
32.206993,-110.88664,"Accipitridae","Buteo jamaicensis",2017,12,12,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2111062213"
32.206993,-110.88664,"Accipitridae","Buteo jamaicensis",2018,2,26,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2134504300"
32.206993,-110.88664,"Accipitridae","Buteo jamaicensis",2019,1,18,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2656129454"
32.206993,-110.88664,"Corvidae","Corvus corax",2019,1,29,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2657246834"
32.206993,-110.88664,"Columbidae","Columba livia",2019,5,10,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2676439748"
32.206993,-110.88664,"Accipitridae","Accipiter cooperii",2019,5,10,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2676525676"
32.208191,-110.884046,"Picidae","Melanerpes formicivorus",2020,1,28,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","2563631687"
