"decimalLatitude","decimalLongitude","individualCount","family","species","year","month","day","datasetKey","gbifID"
32.235725,-111.002639,NA,"Accipitridae","Circus cyaneus",2017,2,9,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","1453416723"
32.238197,-111.00442,3,"Columbidae","Columba livia",2017,4,16,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2061150663"
32.238197,-111.00442,3,"Icteridae","Quiscalus mexicanus",2017,4,16,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2061161674"
32.23569,-111.00402,1,"Accipitridae","Accipiter cooperii",2017,8,3,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2072858748"
32.237743,-111.004972,NA,"Icteridae","Quiscalus mexicanus",2018,2,27,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","1978464696"
32.236008,-111.0032,2,"Caprimulgidae","Chordeiles acutipennis",2018,4,18,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2148749343"
32.23634,-111.00359,1,"Sturnidae","Sturnus vulgaris",2018,8,4,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2188011415"
32.23634,-111.00359,3,"Columbidae","Columba livia",2018,8,4,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2176576687"
32.23634,-111.00359,4,"Columbidae","Zenaida macroura",2018,8,4,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2176593934"
32.23634,-111.00359,2,"Emberizidae","Melozone aberti",2018,8,4,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2176587272"
32.23634,-111.00359,10,"Caprimulgidae","Chordeiles acutipennis",2018,8,4,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2188000484"
32.23634,-111.00359,1,"Sturnidae","Sturnus vulgaris",2018,8,4,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2184109298"
32.23634,-111.00359,3,"Columbidae","Columba livia",2018,8,4,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2200041876"
32.23634,-111.00359,4,"Columbidae","Zenaida macroura",2018,8,4,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2200063048"
32.23634,-111.00359,2,"Emberizidae","Melozone aberti",2018,8,4,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2208298689"
32.23634,-111.00359,10,"Caprimulgidae","Chordeiles acutipennis",2018,8,4,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2200050948"
32.238663,-111.00349,1,"Tyrannidae","Pyrocephalus rubinus",2020,10,31,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3269523637"
32.238663,-111.00349,1,"Fringillidae","Haemorhous mexicanus",2020,10,31,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3272861844"
32.238663,-111.00349,1,"Cuculidae","Geococcyx californianus",2020,10,31,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3257477740"
32.236877,-111.004074,1,"Accipitridae","Buteo jamaicensis",2021,7,14,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3528467778"
32.236877,-111.004074,3,"Fringillidae","Haemorhous mexicanus",2021,7,14,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3562435480"
32.236877,-111.004074,12,"Columbidae","Zenaida macroura",2021,7,14,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3562666219"
