"decimalLatitude","decimalLongitude","individualCount","family","species","year","month","day","datasetKey","gbifID"
32.13431,-110.943436,3,"Columbidae","Zenaida macroura",2021,7,2,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3533833901"
32.13431,-110.943436,1,"Columbidae","Streptopelia decaocto",2021,7,2,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3540619192"
32.13431,-110.943436,1,"Picidae","Melanerpes uropygialis",2021,7,2,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3533970255"
32.13431,-110.943436,1,"Fringillidae","Haemorhous mexicanus",2021,7,2,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3534566180"
32.134506,-110.930336,1,"Cuculidae","Geococcyx californianus",2021,7,6,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3595949039"
32.134506,-110.930336,1,"Remizidae","Auriparus flaviceps",2021,7,6,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3600074587"
32.134506,-110.930336,2,"Icteridae","Molothrus ater",2021,7,6,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3596465533"
32.134506,-110.930336,2,"Columbidae","Streptopelia decaocto",2021,7,6,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3597818502"
32.134506,-110.930336,1,"Tyrannidae","Tyrannus verticalis",2021,7,6,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3600747835"
32.134506,-110.930336,1,"Cardinalidae","Cardinalis cardinalis",2021,7,6,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3596541960"
32.134506,-110.930336,1,"Passeridae","Passer domesticus",2021,7,6,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3543968307"
32.134506,-110.930336,1,"Cuculidae","Geococcyx californianus",2021,7,6,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3633702233"
32.134506,-110.930336,1,"Remizidae","Auriparus flaviceps",2021,7,6,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3647704518"
