"decimalLatitude","decimalLongitude","family","species","year","month","day","datasetKey","gbifID"
32.167183,-110.772446,"Falconidae","Falco peregrinus",2017,1,22,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2040607420"
32.165638,-110.760185,"Hirundinidae","Stelgidopteryx serripennis",2017,5,8,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2068743308"
32.165638,-110.760185,"Remizidae","Auriparus flaviceps",2017,5,8,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2050543642"
32.165638,-110.760185,"Icteridae","Icterus cucullatus",2017,5,8,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2050559689"
32.165638,-110.760185,"Picidae","Melanerpes uropygialis",2017,5,8,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2062655368"
32.165638,-110.760185,"Emberizidae","Amphispiza bilineata",2017,5,8,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2050534715"
32.165638,-110.760185,"Trochilidae","Cynanthus latirostris",2017,5,8,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2068740593"
32.165638,-110.760185,"Cuculidae","Geococcyx californianus",2017,5,8,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2050547418"
32.165638,-110.760185,"Tyrannidae","Myiarchus tyrannulus",2017,5,8,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2068740551"
32.165638,-110.760185,"Picidae","Dryobates scalaris",2017,5,8,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2063049646"
32.165638,-110.760185,"Emberizidae","Melozone fusca",2017,5,8,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2063062725"
32.165638,-110.760185,"Cardinalidae","Piranga ludoviciana",2017,5,8,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2068740583"
32.165638,-110.760185,"Mimidae","Toxostoma curvirostre",2017,5,8,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2068743307"
32.165638,-110.760185,"Tyrannidae","Empidonax wrightii",2017,5,8,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2062652072"
32.165638,-110.760185,"Picidae","Colaptes chrysoides",2017,5,8,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2062661789"
32.165638,-110.760185,"Emberizidae","Zonotrichia leucophrys",2017,5,8,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2062660818"
32.165638,-110.760185,"Columbidae","Columba livia",2017,5,8,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2062655542"
32.165638,-110.760185,"Tyrannidae","Myiarchus cinerascens",2017,5,8,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2063050097"
32.165638,-110.760185,"Polioptilidae","Polioptila melanura",2017,5,8,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2068743145"
32.165638,-110.760185,"Columbidae","Zenaida asiatica",2017,5,8,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2068740727"
32.165638,-110.760185,"Fringillidae","Haemorhous mexicanus",2017,5,8,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2063059247"
32.165638,-110.760185,"Parulidae","Cardellina pusilla",2017,5,8,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2063051672"
32.165638,-110.760185,"Corvidae","Corvus corax",2017,5,8,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2063046297"
32.165638,-110.760185,"Fringillidae","Spinus psaltria",2017,5,8,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2063042689"
32.165638,-110.760185,"Parulidae","Leiothlypis luciae",2017,5,8,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2050549150"
32.165638,-110.760185,"Troglodytidae","Campylorhynchus brunneicapillus",2017,5,8,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2062658723"
