"decimalLatitude","decimalLongitude","family","species","year","month","day","datasetKey","gbifID"
32.27206,-110.94422,"Accipitridae","Parabuteo unicinctus",2017,1,31,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2042227433"
32.26629,-110.94562,"Accipitridae","Accipiter striatus",2017,3,24,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2048967428"
32.26629,-110.94562,"Mimidae","Mimus polyglottos",2017,3,24,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2048959612"
32.268578,-110.950638,"Columbidae","Zenaida asiatica",2017,5,25,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","1562982880"
32.26584,-110.94997,"Remizidae","Auriparus flaviceps",2017,5,15,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2066054195"
32.26584,-110.94997,"Fringillidae","Haemorhous mexicanus",2017,5,15,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2053604304"
32.26584,-110.94997,"Picidae","Melanerpes uropygialis",2017,5,15,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2053602630"
32.26584,-110.94997,"Passeridae","Passer domesticus",2017,5,15,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2065656186"
32.26584,-110.94997,"Columbidae","Zenaida asiatica",2017,5,15,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2065663436"
32.26584,-110.94997,"Fringillidae","Spinus psaltria",2017,5,15,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2071550029"
32.27011,-110.94879,"Accipitridae","Buteo albonotatus",2018,6,30,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2178522485"
32.268303,-110.95217,"Columbidae","Zenaida asiatica",2018,7,11,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2182164532"
32.268635,-110.95106,"Columbidae","Zenaida asiatica",2018,7,11,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2193896989"
32.268345,-110.94723,"Passeridae","Passer domesticus",2018,9,7,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3676604667"
32.268345,-110.94723,"Columbidae","Columba livia",2018,9,7,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3677838812"
32.268345,-110.94723,"Picidae","Melanerpes uropygialis",2018,9,7,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3525474934"
32.268345,-110.94723,"Odontophoridae","Callipepla gambelii",2018,9,7,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3527919846"
32.268345,-110.94723,"Troglodytidae","Campylorhynchus brunneicapillus",2018,9,7,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3523108117"
32.268345,-110.94723,"Fringillidae","Haemorhous mexicanus",2018,9,7,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3525624786"
32.268345,-110.94723,"Columbidae","Zenaida macroura",2018,9,7,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3519336029"
32.268345,-110.94723,"Trochilidae","Calypte anna",2018,9,7,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3519209110"
32.268345,-110.94723,"Fringillidae","Spinus psaltria",2018,9,7,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3520277150"
32.268345,-110.94723,"Polioptilidae","Polioptila melanura",2018,9,7,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3517633952"
32.268345,-110.94723,"Mimidae","Toxostoma curvirostre",2018,9,7,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3517062085"
32.268654,-110.946724,"Accipitridae","Accipiter cooperii",2018,9,19,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2202817967"
32.266712,-110.94822,"Strigidae","Bubo virginianus",2018,10,1,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2191191735"
32.268635,-110.95106,"Ptilogonatidae","Phainopepla nitens",2018,11,1,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2212486778"
32.268635,-110.95106,"Accipitridae","Accipiter cooperii",2018,11,1,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2212498916"
32.268635,-110.95106,"Columbidae","Zenaida macroura",2018,11,1,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2215401783"
32.265636,-110.94668,"Cathartidae","Cathartes aura",2019,8,4,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2693179304"
32.265636,-110.94668,"Picidae","Melanerpes uropygialis",2019,8,4,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2695789419"
32.26629,-110.94562,"Passeridae","Passer domesticus",2020,4,28,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3229193954"
32.26629,-110.94562,"Cardinalidae","Piranga rubra",2020,4,28,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3231944862"
32.26629,-110.94562,"Trochilidae","Calypte anna",2020,4,28,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3241487762"
32.26629,-110.94562,"Fringillidae","Haemorhous mexicanus",2020,4,28,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3227827701"
32.26629,-110.94562,"Emberizidae","Melozone aberti",2020,4,28,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3298338017"
32.26629,-110.94562,"Remizidae","Auriparus flaviceps",2020,4,28,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3237981702"
32.26629,-110.94562,"Columbidae","Zenaida macroura",2020,4,28,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3222075819"
32.26629,-110.94562,"Trochilidae","Calypte costae",2020,4,28,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3299620246"
32.26629,-110.94562,"Columbidae","Zenaida asiatica",2020,4,28,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3223763968"
32.26629,-110.94562,"Fringillidae","Spinus psaltria",2020,4,28,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3239462817"
32.26564,-110.94956,"Accipitridae","Accipiter cooperii",2020,5,5,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3229578234"
32.26564,-110.94956,"Remizidae","Auriparus flaviceps",2020,5,5,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3228112276"
32.26564,-110.94956,"Odontophoridae","Callipepla gambelii",2020,5,5,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3226905301"
32.26564,-110.94956,"Columbidae","Zenaida macroura",2020,5,5,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3231905259"
32.26564,-110.94956,"Passeridae","Passer domesticus",2020,5,5,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3227010251"
32.26564,-110.94956,"Picidae","Melanerpes uropygialis",2020,5,5,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3237953129"
32.26564,-110.94956,"Fringillidae","Haemorhous mexicanus",2020,5,5,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3224624157"
32.26564,-110.94956,"Accipitridae","Accipiter cooperii",2020,5,5,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3240731313"
32.26564,-110.94956,"Remizidae","Auriparus flaviceps",2020,5,5,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3234060204"
32.26564,-110.94956,"Odontophoridae","Callipepla gambelii",2020,5,5,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3223224131"
32.26564,-110.94956,"Columbidae","Zenaida macroura",2020,5,5,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3231183945"
32.26564,-110.94956,"Passeridae","Passer domesticus",2020,5,5,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3226894161"
32.26564,-110.94956,"Picidae","Melanerpes uropygialis",2020,5,5,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3225040177"
32.26564,-110.94956,"Fringillidae","Haemorhous mexicanus",2020,5,5,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3235019191"
32.272087,-110.95234,"Falconidae","Falco mexicanus",2020,5,28,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3188073450"
32.26629,-110.94562,"Tyrannidae","Empidonax difficilis",2020,9,19,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3184820837"
32.26629,-110.94562,"Parulidae","Geothlypis tolmiei",2020,9,19,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3267705771"
32.268547,-110.94807,"Mimidae","Toxostoma curvirostre",2020,12,15,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3291144763"
32.268547,-110.94807,"Columbidae","Columba livia",2020,12,15,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3285413757"
32.268547,-110.94807,"Accipitridae","Accipiter cooperii",2020,12,15,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3291477695"
32.268547,-110.94807,"Passeridae","Passer domesticus",2020,12,15,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3292932971"
32.268547,-110.94807,"Polioptilidae","Polioptila melanura",2020,12,15,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3293081841"
32.268547,-110.94807,"Troglodytidae","Campylorhynchus brunneicapillus",2020,12,15,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3287553082"
32.268547,-110.94807,"Trochilidae","Cynanthus latirostris",2020,12,15,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3284208089"
32.268547,-110.94807,"Fringillidae","Spinus psaltria",2020,12,15,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3297473951"
32.268547,-110.94807,"Columbidae","Zenaida macroura",2020,12,15,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3287655686"
32.268547,-110.94807,"Odontophoridae","Callipepla gambelii",2020,12,15,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3288249744"
32.268547,-110.94807,"Remizidae","Auriparus flaviceps",2020,12,15,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3291737761"
32.268547,-110.94807,"Fringillidae","Haemorhous mexicanus",2020,12,15,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3293921683"
32.268547,-110.94807,"Ptilogonatidae","Phainopepla nitens",2020,12,15,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3293099826"
32.268547,-110.94807,"Emberizidae","Zonotrichia leucophrys",2020,12,15,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3290531738"
32.26823,-110.95029,"Trochilidae","Calypte anna",2021,4,29,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3566609025"
32.26823,-110.95029,"Passeridae","Passer domesticus",2021,4,29,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3558142027"
32.26823,-110.95029,"Columbidae","Columba livia",2021,4,29,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3562919392"
32.26823,-110.95029,"Fringillidae","Haemorhous mexicanus",2021,4,29,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3554493170"
32.26823,-110.95029,"Odontophoridae","Callipepla gambelii",2021,4,29,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3541320422"
32.26823,-110.95029,"Cathartidae","Cathartes aura",2021,4,29,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3542162133"
32.26823,-110.95029,"Ptilogonatidae","Phainopepla nitens",2021,4,29,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3539585121"
32.26823,-110.95029,"Picidae","Melanerpes uropygialis",2021,4,29,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3563889645"
32.26823,-110.95029,"Columbidae","Zenaida asiatica",2021,4,29,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3566514305"
32.26823,-110.95029,"Columbidae","Zenaida macroura",2021,4,29,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","3571680330"
