siteID,nativeUS,totalcount,routeID,easting,northing
124_10,Non-native,17,124,495611,3571200
125_01a,Non-native,1,125,495371,3563787
125_02,Non-native,7,125,495687,3564152
125_03,Non-native,4,125,497061,3564744
125_03a,Non-native,78,125,496998,3564771
125_04b,Non-native,1,125,496105,3565827
125_05,Non-native,2,125,496536,3565502
125_06,Non-native,7,125,492365,3567313
125_08,Non-native,2,125,495741,3566345
125_09,Non-native,15,125,492570,3567733
125_10,Non-native,17,125,493456,3567334
125_10a,Non-native,1,125,493243,3567024
125_11,Non-native,1,125,494540,3567511
126_07,Non-native,7,126,493158,3565883
126_09,Non-native,3,126,493758,3567267
127_02,Non-native,1,127,494755,3562171
127_03,Non-native,2,127,493258,3560916
127_07,Non-native,23,127,492177,3562274
127_08,Non-native,2,127,493606,3562707
128_01,Non-native,12,128,495804,3562827
128_02,Non-native,1,128,496684,3562118
128_03,Non-native,49,128,497956,3562049
128_04,Non-native,71,128,498376,3562814
128_05,Non-native,53,128,499015,3562041
128_06,Non-native,204,128,500078,3562269
128_07,Non-native,125,128,501260,3562310
128_08,Non-native,247,128,502679,3562797
128_09,Non-native,92,128,496933,3563660
128_10,Non-native,101,128,497425,3563453
129_01,Non-native,100,129,497519,3567554
129_02,Non-native,112,129,498135,3567103
129_03,Non-native,29,129,497592,3568677
129_04,Non-native,71,129,498992,3568119
129_05,Non-native,119,129,499677,3568066
129_06,Non-native,82,129,499952,3568711
129_07,Non-native,627,129,499642,3569196
129_08,Non-native,108,129,500938,3569076
129_09,Non-native,400,129,500262,3571022
129_10,Non-native,208,129,501717,3570767
129_11,Non-native,223,129,502638,3570923
129_12,Non-native,195,129,503875,3570237
130_01,Non-native,5,130,497901,3565829
130_02,Non-native,51,130,496796,3566842
130_03,Non-native,44,130,497546,3566564
130_04,Non-native,3,130,498108,3565920
130_05,Non-native,39,130,495907,3567329
130_06,Non-native,54,130,496141,3566994
130_06a,Non-native,5,130,496072,3566980
130_07,Non-native,21,130,495108,3568198
130_08,Non-native,41,130,496807,3568736
130_08a,Non-native,2,130,496688,3568694
130_09,Non-native,44,130,496606,3569838
130_10,Non-native,53,130,497856,3569580
130_11,Non-native,134,130,498462,3569369
131_01,Non-native,27,131,497095,3564697
131_02,Non-native,29,131,498100,3564558
131_03,Non-native,29,131,498830,3565779
131_04,Non-native,15,131,499910,3565356
131_05,Non-native,62,131,499491,3566188
131_06,Non-native,204,131,499274,3567424
131_07,Non-native,168,131,500857,3567005
131_08,Non-native,103,131,501816,3567394
131_09,Non-native,227,131,501775,3568371
131_10,Non-native,120,131,501275,3569780
131_11,Non-native,192,131,502381,3569441
131_12,Non-native,139,131,503495,3569641
131_13,Non-native,11,131,503503,3569602
132_01,Non-native,1,132,498425,3563776
132_05,Non-native,13,132,500464,3564079
132_06,Non-native,271,132,500966,3565394
132_07,Non-native,135,132,500930,3566588
132_08,Non-native,111,132,501335,3566330
132_09,Non-native,170,132,502927,3566097
132_10,Non-native,117,132,502235,3567423
132_11,Non-native,144,132,502147,3568073
132_12,Non-native,116,132,503187,3568709
133_01,Non-native,121,133,502048,3560035
133_02,Non-native,125,133,502925,3560028
133_03,Non-native,79,133,502967,3560712
133_04,Non-native,88,133,502700,3561801
133_05,Non-native,49,133,503563,3561264
133_06,Non-native,133,133,503123,3562219
133_07,Non-native,89,133,501753,3563772
133_08,Non-native,111,133,502385,3563482
133_08a,Non-native,14,133,502250,3563209
133_09,Non-native,115,133,503122,3563106
133_10,Non-native,46,133,501390,3564401
133_11,Non-native,101,133,502315,3564491
133_12,Non-native,23,133,501637,3565379
134_01,Non-native,203,134,504408,3558210
134_02,Non-native,126,134,504237,3559722
134_03,Non-native,10,134,504127,3561267
134_04,Non-native,112,134,504520,3561995
134_05,Non-native,166,134,504204,3562326
134_06,Non-native,130,134,504233,3563945
134_07,Non-native,107,134,503398,3564758
134_08,Non-native,117,134,504505,3564668
134_09,Non-native,100,134,502523,3565609
134_10,Non-native,174,134,503435,3565395
134_11,Non-native,237,134,503234,3567842
134_12,Non-native,210,134,503058,3567202
135_01,Non-native,9,135,494680,3558305
135_02,Non-native,24,135,495091,3557951
135_03,Non-native,4,135,495876,3558476
135_04,Non-native,14,135,493314,3558510
135_05,Non-native,20,135,494433,3559616
135_06,Non-native,52,135,495642,3559515
135_07a,Non-native,1,135,496415,3559255
135_09a,Non-native,7,135,493284,3560907
135_09b,Non-native,1,135,492603,3560840
135_10,Non-native,9,135,495326,3560324
136_01,Non-native,60,136,499049,3558482
136_02,Non-native,16,136,498202,3559066
136_03,Non-native,9,136,498461,3560008
136_04,Non-native,4,136,499167,3559022
136_06,Non-native,2,136,498518,3560864
136_07,Non-native,185,136,499492,3560507
136_08,Non-native,165,136,500055,3560461
136_09,Non-native,162,136,498799,3561746
136_10,Non-native,156,136,499639,3561400
136_11,Non-native,66,136,501042,3561762
136_12,Non-native,24,136,501183,3561965
137_01,Non-native,46,137,495045,3556061
137_02,Non-native,55,137,496500,3556019
137_03,Non-native,52,137,495684,3556258
137_04,Non-native,49,137,496488,3556371
137_05,Non-native,152,137,497697,3556735
137_06,Non-native,26,137,494288,3557483
137_07,Non-native,62,137,495284,3557679
137_08,Non-native,205,137,496841,3557410
137_09,Non-native,191,137,497764,3557710
137_10,Non-native,138,137,498508,3557708
137_11,Non-native,2,137,497679,3558630
137_12,Non-native,27,137,498495,3558661
138_01,Non-native,125,138,496741,3554364
138_02,Non-native,122,138,497337,3554413
138_03,Non-native,73,138,497552,3555991
138_04,Non-native,45,138,498060,3555675
138_05,Non-native,16,138,498612,3556812
138_06,Non-native,118,138,499925,3556734
138_07,Non-native,76,138,499582,3557783
138_08,Non-native,56,138,500305,3557949
138_09,Non-native,27,138,500936,3558114
138_10,Non-native,67,138,500782,3559674
138_11,Non-native,46,138,501435,3559887
138_12,Non-native,71,138,502884,3559624
139_01,Non-native,75,139,498394,3554413
139_02,Non-native,180,139,499282,3554054
139_03,Non-native,119,139,499713,3555266
139_04,Non-native,174,139,500127,3555726
139_05,Non-native,233,139,501651,3555404
139_06,Non-native,113,139,500150,3556864
139_07,Non-native,222,139,501879,3556003
139_08,Non-native,32,139,501139,3557157
139_09,Non-native,238,139,501636,3558219
139_10,Non-native,217,139,502202,3558982
139_11,Non-native,146,139,503930,3558976
139_12,Non-native,244,139,503130,3559422
140_01,Non-native,2,140,500430,3554739
140_02,Non-native,34,140,501319,3554399
140_03,Non-native,87,140,502698,3554680
140_04,Non-native,60,140,502653,3555385
140_05,Non-native,52,140,502906,3556260
140_06,Non-native,61,140,502679,3557901
140_07,Non-native,93,140,503198,3557785
140_08,Non-native,40,140,504746,3557735
140_09,Non-native,58,140,505871,3557705
140_10,Non-native,45,140,505599,3558220
140_11,Non-native,24,140,505375,3559035
140_12,Non-native,12,140,505224,3560914
141_01,Non-native,47,141,503687,3555271
141_02,Non-native,218,141,503548,3556401
141_03,Non-native,228,141,504205,3556819
141_04,Non-native,152,141,505065,3556076
141_05,Non-native,27,141,506250,3556244
141_06,Non-native,64,141,506409,3557067
141_07,Non-native,88,141,506190,3558210
141_08,Non-native,18,141,506577,3559349
141_09,Non-native,81,141,506767,3560154
141_10,Non-native,83,141,505629,3561363
141_11,Non-native,176,141,506044,3561680
141_12,Non-native,167,141,505343,3562311
142_01,Non-native,31,142,503628,3554905
142_02,Non-native,17,142,504106,3554214
142_03,Non-native,37,142,504535,3555343
142_04,Non-native,25,142,505442,3555334
142_05,Non-native,25,142,506117,3555743
142_06,Non-native,24,142,507910,3555345
142_07,Non-native,63,142,507804,3556724
142_08,Non-native,79,142,507657,3557553
142_09,Non-native,2,142,507780,3558696
142_10,Non-native,14,142,507003,3559492
142_11,Non-native,21,142,507734,3560849
142_12,Non-native,26,142,507677,3561508
143_01,Non-native,11,143,505765,3554685
143_02,Non-native,3,143,506588,3554501
143_03,Non-native,9,143,507732,3554506
143_04,Non-native,48,143,508531,3554522
143_05,Non-native,155,143,509314,3554392
143_06,Non-native,277,143,510682,3553981
143_07,Non-native,112,143,511781,3554911
143_08,Non-native,189,143,512169,3554482
143_09,Non-native,97,143,508389,3555702
143_10,Non-native,83,143,510175,3555783
143_11,Non-native,37,143,511805,3555502
143_12,Non-native,1,143,511791,3556291
144_01,Non-native,147,144,509317,3555684
144_02,Non-native,200,144,509073,3556162
144_03,Non-native,166,144,509301,3556319
144_04,Non-native,7,144,510845,3556938
144_05,Non-native,54,144,508226,3557803
144_06,Non-native,53,144,508924,3557386
144_07,Non-native,21,144,510180,3557515
144_08,Non-native,63,144,508784,3558846
144_09,Non-native,27,144,509446,3558532
144_10,Non-native,68,144,508136,3559079
144_11,Non-native,87,144,509231,3559191
144_12,Non-native,8,144,508151,3560546
145_01,Non-native,6,145,513405,3554279
145_02,Non-native,3,145,514724,3554442
145_10,Non-native,1,145,513387,3556440
145_12,Non-native,2,145,513402,3557010
146_01,Non-native,38,146,509409,3574177
146_02,Non-native,11,146,510728,3573908
146_03,Non-native,55,146,513355,3574261
146_04,Non-native,38,146,514718,3574716
146_05,Non-native,42,146,511047,3575102
146_06,Non-native,16,146,513414,3575237
146_07,Non-native,37,146,514524,3575297
146_08,Non-native,22,146,510486,3577023
146_09,Non-native,31,146,511237,3576625
146_10,Non-native,20,146,512493,3576255
146_11,Non-native,30,146,513260,3576637
146_12,Non-native,47,146,513123,3577018
147_01,Non-native,136,147,514190,3572439
147_01a,Non-native,3,147,514059,3572397
147_02,Non-native,18,147,514736,3572409
147_03,Non-native,24,147,510544,3573197
147_04,Non-native,21,147,511159,3573970
147_05,Non-native,22,147,512393,3573319
147_06,Non-native,26,147,513126,3573951
147_07,Non-native,55,147,514307,3573844
147_08,Non-native,43,147,511742,3574521
147_09,Non-native,20,147,512979,3574160
147_10,Non-native,20,147,511186,3574940
147_11,Non-native,9,147,512879,3575246
148_01a,Non-native,28,148,512718,3571000
148_02,Non-native,52,148,513656,3571353
148_03,Non-native,43,148,514346,3571439
148_04a,Non-native,21,148,515351,3571198
148_05,Non-native,95,148,515310,3572607
148_06a,Non-native,52,148,515099,3573396
148_07,Non-native,52,148,515437,3574644
148_08,Non-native,28,148,515995,3575593
148_09,Non-native,37,148,514820,3576221
148_10,Non-native,10,148,516202,3576066
149_01,Non-native,41,149,516986,3568358
149_02,Non-native,73,149,517970,3568420
149_02a,Non-native,6,149,517924,3568467
149_03,Non-native,34,149,518925,3568236
149_04,Non-native,7,149,520238,3568850
149_05,Non-native,21,149,519336,3569822
149_05a,Non-native,3,149,519181,3569788
149_06,Non-native,73,149,519609,3570634
149_07,Non-native,28,149,519889,3571600
149_07a,Non-native,2,149,519584,3571223
149_08,Non-native,36,149,519722,3572373
149_09,Non-native,10,149,518612,3573973
149_09a,Non-native,4,149,518458,3573814
149_10,Non-native,33,149,519411,3573250
149_11,Non-native,10,149,519702,3574213
149_12a,Non-native,5,149,520134,3574501
150_01,Non-native,221,150,509593,3563820
150_02,Non-native,18,150,510442,3563628
150_03,Non-native,134,150,510469,3564102
150_04,Non-native,196,150,511650,3564004
150_05,Non-native,157,150,510131,3565156
150_06,Non-native,92,150,511844,3565845
150_07,Non-native,157,150,512164,3565908
150_08,Non-native,242,150,511629,3566810
150_09,Non-native,102,150,512520,3566779
150_10,Non-native,133,150,512372,3567780
150_11,Non-native,92,150,513131,3568090
150_12,Non-native,81,150,512223,3569454
151_01,Non-native,55,151,515611,3569943
151_02,Non-native,45,151,516993,3569438
151_03,Non-native,37,151,517594,3569326
151_04,Non-native,104,151,518008,3569405
151_05,Non-native,17,151,517798,3570698
151_06,Non-native,52,151,518516,3570269
151_07,Non-native,38,151,517697,3571395
151_08,Non-native,7,151,518331,3571849
151_09,Non-native,13,151,517343,3572702
151_09a,Non-native,12,151,517357,3572644
151_10,Non-native,6,151,518210,3572325
151_11,Non-native,38,151,517112,3573878
151_12,Non-native,27,151,517593,3574034
152_01,Non-native,217,152,512009,3563836
152_02,Non-native,245,152,512739,3564997
152_03,Non-native,174,152,513742,3564483
152_04,Non-native,85,152,513339,3565733
152_05,Non-native,35,152,513911,3566073
152_06,Non-native,130,152,514522,3566041
152_07,Non-native,103,152,515392,3566608
152_08,Non-native,61,152,513655,3567999
152_09,Non-native,87,152,514695,3567377
152_10,Non-native,77,152,513132,3568105
153_01,Non-native,172,153,517945,3563320
153_02,Non-native,69,153,517653,3564580
153_03,Non-native,14,153,515969,3565867
153_04,Non-native,43,153,516278,3565177
153_04a,Non-native,2,153,516437,3565166
153_05,Non-native,87,153,517305,3565410
153_06,Non-native,144,153,516629,3566628
153_07,Non-native,67,153,515663,3567394
153_08,Non-native,81,153,516249,3567830
153_09,Non-native,57,153,514105,3568621
153_10,Non-native,113,153,515520,3568001
153_11,Non-native,40,153,513186,3569413
153_12,Non-native,26,153,514269,3569302
154_01,Non-native,80,154,511312,3562468
154_02,Non-native,148,154,512631,3562289
154_03,Non-native,143,154,514014,3562525
154_04,Non-native,194,154,511976,3563483
154_05,Non-native,116,154,513026,3563275
154_06,Non-native,59,154,514035,3563871
154_07,Non-native,47,154,515645,3563091
154_08,Non-native,56,154,516087,3563672
154_09,Non-native,126,154,514597,3564712
154_10,Non-native,53,154,515864,3564202
154_11,Non-native,4,154,516471,3564329
154_12,Non-native,39,154,514178,3565802
155_01,Non-native,130,155,513789,3561386
155_02,Non-native,135,155,514773,3561095
155_03,Non-native,26,155,517393,3561630
155_04,Non-native,49,155,518088,3561583
155_05,Non-native,129,155,519205,3561419
155_06,Non-native,59,155,520120,3561677
155_07,Non-native,12,155,521797,3561458
155_08,Non-native,7,155,522565,3561118
155_09,Non-native,121,155,514335,3562156
155_10,Non-native,84,155,515151,3562654
155_11,Non-native,69,155,516614,3562113
155_12,Non-native,64,155,517322,3562021
156_01,Non-native,55,156,521755,3568753
156_02,Non-native,70,156,520710,3569860
156_03,Non-native,77,156,521410,3569501
156_04,Non-native,12,156,520352,3570320
156_05,Non-native,126,156,520111,3571315
156_06,Non-native,12,156,521066,3571625
156_07,Non-native,17,156,520388,3572862
156_08,Non-native,40,156,521122,3572636
156_09,Non-native,9,156,520656,3573187
156_10,Non-native,8,156,521513,3573724
157_01,Non-native,53,157,518452,3562025
157_02,Non-native,85,157,518320,3563430
157_03,Non-native,115,157,518168,3564142
157_04,Non-native,144,157,518887,3564943
157_05,Non-native,24,157,517794,3566525
157_05a,Non-native,28,157,517778,3566545
157_06,Non-native,43,157,518990,3566255
157_07,Non-native,8,157,520603,3566775
157_08,Non-native,14,157,517389,3567477
157_09,Non-native,72,157,518802,3567318
157_10,Non-native,16,157,519883,3567481
157_11,Non-native,2,157,520430,3567494
157_12,Non-native,34,157,520569,3568528
158_01,Non-native,72,158,522389,3567599
158_02,Non-native,43,158,522009,3568246
158_03,Non-native,28,158,522166,3569077
158_04,Non-native,24,158,521252,3570866
158_05,Non-native,12,158,522509,3570278
158_06,Non-native,31,158,522412,3571239
158_07,Non-native,37,158,522755,3572662
158_08,Non-native,15,158,522455,3573179
158_09,Non-native,18,158,523547,3573687
158_10,Non-native,1,158,523882,3573976
158_11,Non-native,1,158,524570,3574717
159_01,Non-native,88,159,522658,3566426
159_02,Non-native,3,159,523486,3566475
159_03,Non-native,8,159,523897,3567796
159_04,Non-native,68,159,523779,3568456
159_05,Non-native,37,159,523387,3569583
159_06,Non-native,28,159,523579,3570441
159_07,Non-native,62,159,523130,3571220
159_08,Non-native,46,159,523662,3572655
159_09,Non-native,16,159,524194,3572114
159_10,Non-native,8,159,524375,3573490
160_01a,Non-native,46,160,522563,3564784
160_02,Non-native,26,160,521882,3565745
160_03,Non-native,26,160,522203,3565763
160_04a,Non-native,16,160,523470,3564964
160_05,Non-native,35,160,524542,3565023
160_06,Non-native,138,160,521752,3566407
160_07a,Non-native,3,160,524697,3566503
160_09,Non-native,30,160,526110,3566983
160_10a,Non-native,12,160,527355,3566306
160_11a,Non-native,2,160,521339,3567663
161_01,Non-native,2,161,524918,3567731
161_02,Non-native,38,161,525475,3567513
161_03,Non-native,11,161,524775,3568498
161_04,Non-native,72,161,525314,3568123
161_05,Non-native,5,161,524280,3569165
161_05a,Non-native,4,161,524374,3569360
161_06,Non-native,68,161,524647,3570420
161_07,Non-native,2,161,524270,3571556
161_08,Non-native,11,161,525756,3571388
162_01,Non-native,4,162,526643,3567854
162_03,Non-native,13,162,526137,3568256
162_04,Non-native,1,162,527477,3568395
162_05,Non-native,1,162,525550,3569659
162_06,Non-native,2,162,526266,3569921
162_07,Non-native,4,162,527874,3569698
162_08,Non-native,3,162,525780,3570110
162_09,Non-native,2,162,526480,3570940
163_01,Non-native,22,163,523041,3559695
163_02,Non-native,60,163,523733,3560096
163_03,Non-native,33,163,523926,3561537
163_04,Non-native,149,163,520064,3562841
163_05,Non-native,81,163,520790,3562780
163_06,Non-native,86,163,521656,3562640
163_07,Non-native,74,163,522104,3562683
163_08,Non-native,29,163,523159,3562166
163_09,Non-native,45,163,519192,3563744
163_10,Non-native,86,163,519664,3564689
163_11,Non-native,86,163,519646,3565717
163_12,Non-native,45,163,519029,3566160
164_01,Non-native,269,164,520553,3563826
164_02,Non-native,76,164,521609,3563745
164_03,Non-native,90,164,522058,3563828
164_05,Non-native,127,164,520299,3564129
164_06,Non-native,211,164,521061,3564219
164_07,Non-native,4,164,523958,3564334
164_08,Non-native,10,164,524051,3564746
164_09,Non-native,1,164,525726,3564577
164_10,Non-native,69,164,520784,3565583
164_11,Non-native,7,164,525751,3565364
165_01,Non-native,33,165,525063,3555904
165_02,Non-native,12,165,524979,3556849
165_03,Non-native,4,165,524712,3558108
165_04,Non-native,4,165,526015,3558493
165_05,Non-native,3,165,524715,3558921
