siteID,nativeUS,totalcount,routeID,easting,northing
101_01,Non-native,219,101,507455,3562118
101_02,Non-native,156,101,507765,3563197
101_03,Non-native,161,101,508686,3563197
101_04,Non-native,131,101,508465,3564469
101_05,Non-native,243,101,509149,3564153
101_06,Non-native,156,101,509733,3565237
101_07,Non-native,230,101,509102,3566562
101_08,Non-native,201,101,510744,3566147
101_09,Non-native,303,101,510123,3567779
101_10,Non-native,123,101,511119,3567754
101_11,Non-native,92,101,511325,3568072
101_12,Non-native,179,101,511686,3569191
102_01,Non-native,259,102,508468,3566481
102_02,Non-native,519,102,508204,3567234
102_03,Non-native,279,102,509715,3567276
102_04,Non-native,194,102,509505,3568568
102_05,Non-native,108,102,511065,3568389
102_06,Non-native,71,102,510663,3569700
102_07,Non-native,114,102,510288,3569872
102_08,Non-native,40,102,510511,3571188
102_09,Non-native,18,102,510705,3572574
102_10,Non-native,17,102,511557,3572802
102_11,Non-native,107,102,512084,3572892
103_01,Non-native,13,103,512199,3570673
103_02,Non-native,14,103,512734,3570779
103_03,Non-native,28,103,513809,3570239
103_04,Non-native,30,103,514608,3570262
103_05,Non-native,35,103,515989,3570276
103_06,Non-native,38,103,516611,3570213
103_07,Non-native,6,103,511226,3571291
103_08,Non-native,33,103,517366,3572924
103_09,Non-native,7,103,516553,3572993
103_10,Non-native,60,103,516963,3573260
103_11,Non-native,48,103,516850,3574119
103_12,Non-native,12,103,516329,3575610
104_01,Non-native,46,104,507650,3563241
104_02,Non-native,22,104,507727,3564495
104_03,Non-native,28,104,507381,3565621
104_04,Non-native,68,104,507967,3565803
104_05,Non-native,106,104,507094,3566833
104_06,Non-native,115,104,507327,3567382
104_07,Non-native,88,104,507082,3568105
104_08,Non-native,101,104,508648,3568445
104_09,Non-native,75,104,508209,3569807
104_10,Non-native,25,104,509244,3570810
104_11,Non-native,72,104,509885,3570432
105_01,Non-native,110,105,506601,3564099
105_02,Non-native,85,105,506628,3565812
105_03,Non-native,282,105,506111,3566305
105_04,Non-native,55,105,506007,3567292
105_05,Non-native,80,105,506176,3568962
105_06,Non-native,100,105,506343,3569895
105_07,Non-native,97,105,507851,3569441
105_08,Non-native,58,105,507833,3570092
105_09,Non-native,49,105,508463,3569969
105_10,Non-native,23,105,509207,3571877
105_11,Non-native,74,105,509430,3571323
105_12,Non-native,9,105,509853,3572595
105_13,Non-native,33,105,509912,3573294
106_01,Non-native,243,106,506704,3562633
106_02,Non-native,161,106,505772,3563189
106_03,Non-native,149,106,506321,3563574
106_04,Non-native,215,106,505164,3564705
106_05,Non-native,109,106,505841,3565613
106_06,Non-native,102,106,505972,3566295
106_07,Non-native,123,106,505692,3567176
106_08,Non-native,132,106,505955,3568060
106_09,Non-native,88,106,505306,3569493
106_10,Non-native,145,106,505607,3570413
106_11,Non-native,143,106,506202,3570703
106_12,Non-native,34,106,505886,3571625
107_01,Non-native,159,107,504878,3565034
107_02,Non-native,160,107,504000,3566755
107_03,Non-native,81,107,504589,3567918
107_04,Non-native,125,107,504428,3568242
107_05,Non-native,151,107,504751,3569881
107_06,Non-native,98,107,504128,3570690
107_07,Non-native,111,107,504821,3571276
107_08,Non-native,41,107,506704,3571772
107_09,Non-native,15,107,507513,3571895
107_10,Non-native,96,107,504132,3572290
107_11,Non-native,23,107,505184,3572185
107_12,Non-native,17,107,506178,3572739
108_01,Non-native,46,108,507093,3572064
108_02,Non-native,19,108,508518,3572682
108_03,Non-native,83,108,505536,3573412
108_04,Non-native,38,108,506155,3573506
108_05,Non-native,36,108,507394,3573088
108_06,Non-native,169,108,508993,3573907
108_07,Non-native,36,108,508505,3574602
108_08,Non-native,48,108,508128,3575608
108_09,Non-native,26,108,509303,3575421
108_10,Non-native,88,108,509449,3576718
108_11,Non-native,66,108,509918,3577156
108_12,Non-native,16,108,510166,3577478
109_01,Non-native,113,109,503695,3571118
109_02,Non-native,147,109,503569,3572351
109_03,Non-native,26,109,503287,3573637
109_04,Non-native,30,109,504688,3573166
109_05,Non-native,6,109,504919,3574515
109_06,Non-native,12,109,505283,3574016
109_07,Non-native,12,109,506099,3574333
109_08,Non-native,38,109,507709,3574258
109_09,Non-native,50,109,507275,3575780
109_10,Non-native,17,109,507220,3576773
109_11,Non-native,11,109,508518,3576832
109_12,Non-native,9,109,508620,3577564
110_01,Non-native,133,110,502823,3572132
110_02,Non-native,46,110,502249,3573576
110_03,Non-native,43,110,502121,3574454
110_04,Non-native,26,110,503627,3574326
110_05,Non-native,1,110,503890,3575390
110_05a,Non-native,37,110,503555,3575313
110_06,Non-native,38,110,504314,3575034
110_07,Non-native,109,110,505577,3575721
110_08,Non-native,34,110,506785,3575779
110_09,Non-native,29,110,506255,3576273
110_10,Non-native,38,110,506845,3577431
110_11,Non-native,30,110,507447,3577559
110_12,Non-native,6,110,506856,3577764
111_01,Non-native,61,111,501089,3573523
111_02,Non-native,32,111,501630,3574547
111_03,Non-native,40,111,501744,3575088
111_04,Non-native,60,111,502326,3575727
111_05,Non-native,78,111,502963,3576981
111_06,Non-native,208,111,503399,3576713
111_07,Non-native,74,111,504885,3576981
111_08,Non-native,63,111,501592,3577990
111_09,Non-native,55,111,502124,3577321
111_10,Non-native,71,111,503149,3577498
111_11,Non-native,34,111,504489,3577418
111_12,Non-native,256,111,501685,3578732
112_01,Non-native,126,112,499102,3578747
112_02,Non-native,58,112,502027,3578632
112_03,Non-native,79,112,503466,3578327
112_04,Non-native,28,112,498179,3579118
112_05,Non-native,22,112,499680,3579611
112_06,Non-native,106,112,502411,3579981
112_07,Non-native,40,112,499618,3580845
112_08,Non-native,47,112,500175,3580208
112_09,Non-native,62,112,501392,3580543
112_10,Non-native,62,112,502030,3580007
112_11,Non-native,28,112,501297,3581181
112_12,Non-native,69,112,502433,3581217
113_01,Non-native,28,113,499761,3573453
113_02,Non-native,89,113,499646,3574045
113_03,Non-native,63,113,499245,3575423
113_03a,Non-native,28,113,499911,3575207
113_04,Non-native,35,113,500553,3575169
113_05,Non-native,149,113,500842,3576973
113_06,Non-native,50,113,501948,3576073
113_07,Non-native,53,113,500627,3577639
113_08,Non-native,84,113,500812,3578715
113_09,Non-native,54,113,500651,3579865
113_10,Non-native,34,113,501204,3579845
113_10a,Non-native,19,113,501873,3579498
114_01,Non-native,36,114,498220,3570937
114_02,Non-native,65,114,499218,3570967
114_03,Non-native,118,114,496913,3571943
114_04,Non-native,43,114,497338,3571559
114_05,Non-native,52,114,498287,3571460
114_06,Non-native,96,114,499511,3571497
114_07,Non-native,189,114,500794,3571040
114_08,Non-native,171,114,501269,3571121
114_09,Non-native,155,114,502731,3570992
114_10,Non-native,226,114,495987,3572548
114_11,Non-native,27,114,496323,3572671
114_12,Non-native,53,114,495185,3573021
115_01,Non-native,142,115,498123,3572659
115_02,Non-native,199,115,499988,3572027
115_03,Non-native,225,115,500232,3572847
115_04,Non-native,158,115,501217,3572253
115_05,Non-native,181,115,498962,3573297
115_06,Non-native,149,115,500960,3573138
115_07,Non-native,85,115,498794,3574162
115_08,Non-native,93,115,500904,3574237
115_09,Non-native,177,115,498115,3575216
115_10,Non-native,104,115,498493,3576690
115_11,Non-native,53,115,499362,3576715
115_12,Non-native,19,115,499995,3577311
116_01,Non-native,1,116,491247,3575786
116_02,Non-native,44,116,491788,3576802
116_03,Non-native,12,116,491776,3577072
116_04,Non-native,12,116,492512,3577137
116_05,Non-native,65,116,493983,3577288
116_06,Non-native,37,116,494852,3577679
116_07,Non-native,110,116,495917,3577458
116_08,Non-native,144,116,496918,3577095
116_09,Non-native,61,116,497611,3577477
116_10,Non-native,107,116,498537,3577425
116_11,Non-native,20,116,497223,3578357
116_11a,Non-native,2,116,497556,3578446
116_12,Non-native,157,116,498674,3578241
117_01,Non-native,47,117,497073,3572902
117_02,Non-native,25,117,496495,3573444
117_03,Non-native,211,117,497661,3573864
117_04,Non-native,45,117,495974,3574638
117_05,Non-native,127,117,497943,3574505
117_06,Non-native,37,117,496108,3575343
117_07,Non-native,200,117,496898,3575240
117_08,Non-native,83,117,497302,3576139
117_09,Non-native,48,117,495191,3576019
117_10,Non-native,158,117,495801,3576737
117_11,Non-native,70,117,496393,3576834
117_12,Non-native,30,117,497580,3576211
118_05,Non-native,11,118,489756,3576265
118_06,Non-native,2,118,490636,3576135
118_07,Non-native,1,118,487135,3577913
118_08,Non-native,5,118,488786,3577571
118_08a,Non-native,1,118,488810,3577207
118_09,Non-native,16,118,490049,3577015
118_10,Non-native,9,118,490394,3577135
119_01,Non-native,5,119,491669,3573065
119_02,Non-native,8,119,492346,3573732
119_03,Non-native,4,119,491743,3574523
119_04,Non-native,37,119,492455,3574123
119_05,Non-native,3,119,493360,3574818
119_09,Non-native,12,119,493141,3575468
119_10,Non-native,3,119,493949,3575832
119_11,Non-native,9,119,492085,3576860
120_01,Non-native,2,120,490910,3572512
120_03,Non-native,36,120,492359,3572001
120_04,Non-native,16,120,493161,3572467
120_05,Non-native,2,120,490736,3573680
120_06,Non-native,12,120,493439,3573279
120_08,Non-native,1,120,489788,3574257
121_01,Non-native,20,121,488615,3572434
121_03,Non-native,16,121,490269,3572303
121_04,Non-native,5,121,491692,3571654
121_05,Non-native,12,121,492249,3571974
121_07,Non-native,4,121,489333,3572433
121_09,Non-native,3,121,489634,3573862
122_02,Non-native,2,122,492298,3569021
122_04,Non-native,1,122,489513,3569382
122_05,Non-native,2,122,490166,3569638
122_07a,Non-native,2,122,488832,3570738
122_08a,Non-native,2,122,489030,3570680
123_01,Non-native,5,123,492868,3569894
123_03,Non-native,6,123,492472,3570675
123_04,Non-native,15,123,494043,3571059
123_05,Non-native,9,123,494359,3570174
123_06,Non-native,82,123,493853,3571594
123_07,Non-native,68,123,494923,3571915
123_08,Non-native,29,123,494536,3572435
123_09,Non-native,13,123,494727,3573251
124_02,Non-native,10,124,493081,3568463
124_03,Non-native,7,124,494046,3568221
124_04,Non-native,3,124,493490,3569331
124_05,Non-native,4,124,494492,3569743
124_06,Non-native,55,124,495899,3569872
124_07,Non-native,56,124,495787,3570847
124_08,Non-native,6,124,496260,3570865
124_09,Non-native,33,124,497373,3570752
